,b3C9s,g7R2j,k4W1c,m3D1v,r8S3g,s8Y2f,t5V9e,y9W5d
8b6d1125760bd3939b6e,0.5333333333333333,1.0,1.0,0.8361111111111112,0.49833333333333335,0.5,0.8250000000000001,0.8787878787878789
63eef37311aaac915a45,0.625,0.48333333333333334,0.5,0.4262539287881669,0.2595238095238095,0.0384615384615384,0.30678571428571433,0.5504873214337631
5d89810b20079366fcc2,0.6499999999999999,4.6,1.0,0.9375000000000001,0.5966666666666667,0.5,1.0,0.893939393939394
47eeab842793b09300c3,0.3533333333333333,0.29000000000000004,0.5,0.5135912698412697,0.3352380952380952,0.5,0.3816666666666666,0.6693722943722943
a8eea517e36b20757b2e,0.85,0.2,1.0,0.5348824786324786,0.2633333333333333,0.0,0.2828104575163399,0.7575757575757577
e89cdaa3f159a0d3f55e,0.15970930232558136,0.42945326278659607,0.1,0.2818906834988706,0.21616946778711482,0.025,0.4911111111111111,0.22746212121212117
e324cc9cb52a2b3cb9cb,0.575,0.4733333333333334,0.125,0.36617721617721616,0.3813333333333333,0.125,0.5324242424242425,0.4228317659352142
98e10f84d94623f8b39e,0.4,0.18055555555555555,0.0833333333333333,0.4158868092691622,0.2917647058823529,1.0,0.2013345864661654,0.5787878787878789
3c89c7f1db26ae691db8,1.0,0.8285714285714285,0.5757575757575758,0.34027944736149063,0.24333333333333335,1.0,0.09923132423132419,0.643250688705234
9ea29e4a747ea4a7c70a,0.17321428571428565,0.26742424242424245,0.25,0.5719907407407407,0.4901010101010101,0.25,0.550952380952381,0.41780904280904274
e23ada44d3eac9b465d2,1.0,0.9333333333333333,0.5,0.6486111111111111,0.41523809523809524,1.0,0.8333333333333333,0.7151515151515153
b79c2d9d8148403a3720,0.6263157894736842,0.4496440596440596,0.5,0.5638888888888888,0.4150997150997151,0.3974358974358974,0.525,0.49338489793035245
01d8aa21ef476b66c573,0.65,0.6066666666666667,0.6666666666666666,0.6399691358024692,0.6833333333333333,0.3333333333333333,0.75,0.4736719745491675
9417c1b4c24e428984bc,0.7176470588235294,0.37554112554112556,0.036036036036036,0.49335382813643686,0.373015873015873,0.2083333333333333,0.31582582582582586,0.3481593048156515
3d63ba961a5f3a60616a,0.8,0.675,1.0,0.7777777777777778,0.482051282051282,1.0,0.5952380952380953,0.883838383838384
57709f904b1cc9ec60b1,0.3308333333333333,0.6124137931034483,0.3333333333333333,0.5131944444444445,0.355067155067155,1.0,0.6500000000000001,0.42093277093277087
8979427badebb9e2bd10,0.3388198757763975,0.7555555555555555,1.0,0.6176146384479717,0.8666666666666667,1.0,1.0,0.8888888888888892
6e7d56f652020f046204,0.7166666666666667,0.7250000000000001,0.4666666666666666,0.6049603174603174,0.46666666666666673,0.5,0.5333333333333334,0.5988188282305928
03aa0b20dd4af1888eef,0.35,0.4370588235294117,1.0,0.5567460317460317,0.28240740740740744,0.1,0.5875000000000001,0.6084153220516858
1b25734414fcc7466153,0.23163771712158804,0.2579248366013072,0.1,0.5135030864197531,0.27175324675324675,0.4666666666666666,0.3205,0.42180134680134684
